date,open,high,low,volume,close
09/06/2013 10:50:39,1659.25,1659.75,1658.5,21483,1658.75
09/06/2013 11:00:28,1658.75,1659.75,1658,21479,1659
09/06/2013 11:07:58,1659,1660.25,1658.5,21484,1659
09/06/2013 11:19:04,1659,1660.5,1658.75,21487,1660.25
09/06/2013 11:31:53,1660.25,1660.5,1658.75,21477,1659.25
09/06/2013 11:39:50,1659.25,1659.5,1657,21483,1657
09/06/2013 11:46:01,1657,1657.75,1656,21514,1657.25
09/06/2013 12:00:11,1657.25,1658.25,1656.5,21518,1658
09/06/2013 12:07:18,1658,1659.75,1657.75,21488,1659.25
09/06/2013 12:20:18,1659.25,1660.75,1658.75,21474,1660.25
09/06/2013 12:33:47,1660.25,1660.25,1659,21465,1659.75
09/06/2013 12:46:53,1659.75,1660.75,1659.25,21477,1659.75
09/06/2013 12:49:53,1659.75,1662.25,1659.5,21463,1662
09/06/2013 12:53:34,1662,1663.25,1661.75,21432,1662.75
09/06/2013 13:02:14,1662.75,1662.75,1661.75,21451,1662.25
09/06/2013 13:08:16,1662.25,1664,1662,21436,1663.75
09/06/2013 13:15:46,1663.75,1664,1661.5,21442,1661.5
09/06/2013 13:31:19,1661.5,1662.5,1661.25,21434,1662.5
09/06/2013 13:42:02,1662.5,1663.25,1661.5,21448,1662
09/06/2013 13:52:38,1662,1662.25,1660.75,21439,1662
09/06/2013 14:01:16,1662,1662.5,1660,21480,1660.75
09/06/2013 14:07:44,1660.75,1661.5,1659.5,21427,1659.5
09/06/2013 14:09:12,1659.5,1660,1657.25,21531,1658.5
09/06/2013 14:12:20,1658.5,1659,1656.25,21501,1656.75
09/06/2013 14:15:27,1656.75,1658.25,1656.5,21487,1658.25
09/06/2013 14:20:28,1658.25,1659.25,1657.25,21518,1659.25
09/06/2013 14:26:10,1659.25,1659.5,1657.75,21485,1658
09/06/2013 14:35:43,1658,1658.75,1656.5,21506,1656.5
09/06/2013 14:40:40,1656.5,1657.75,1655.5,21512,1657.5
09/06/2013 14:47:21,1657.5,1658.5,1655.75,21510,1656
09/06/2013 14:49:57,1656,1656.5,1654.25,21535,1654.25
09/06/2013 14:55:13,1654.25,1656.25,1654.25,21534,1655.5
09/06/2013 14:57:00,1655.5,1655.5,1653.5,21206,1653.75
09/06/2013 14:58:16,1653.75,1654.25,1653,21894,1653.25
09/06/2013 14:59:49,1653.25,1653.75,1652.75,21439,1653.5
09/06/2013 15:00:06,1653.5,1654.5,1653.5,21669,1654.25
09/06/2013 15:01:11,1654.25,1654.25,1653.25,21550,1653.5
09/06/2013 15:06:12,1653.5,1653.75,1652.5,21567,1653.75
09/06/2013 15:14:51,1653.75,1654.25,1653,21548,1653.75
09/08/2013 18:48:04,1653.75,1658,1652,21544,1656.25
09/09/2013 1:02:18,1656.25,1659.25,1654.75,21516,1658.75
09/09/2013 2:45:34,1658.75,1659.25,1656.5,21501,1656.75
09/09/2013 4:00:04,1656.75,1659.75,1656.75,21487,1659.5
09/09/2013 5:35:11,1659.5,1659.5,1656.5,21509,1658.5
09/09/2013 6:43:09,1658.5,1659,1656,21506,1657.75
09/09/2013 7:58:45,1657.75,1658.25,1656.5,21508,1658
09/09/2013 8:30:20,1658,1659.5,1657.75,21478,1659.25
09/09/2013 8:31:29,1659.25,1661.75,1659.25,21476,1661
09/09/2013 8:35:34,1661,1661.75,1660,21463,1661.5
09/09/2013 8:39:10,1661.5,1662.25,1660.75,21453,1661.5
09/09/2013 8:44:39,1661.5,1661.75,1660,21460,1660.75
09/09/2013 8:48:12,1660.75,1662.5,1660.75,21446,1662
09/09/2013 8:52:04,1662,1663.25,1661.25,21430,1663.25
09/09/2013 8:55:20,1663.25,1664.25,1663,21441,1664.25
09/09/2013 8:59:17,1664.25,1664.75,1663.75,21418,1663.75
09/09/2013 9:02:21,1663.75,1665.25,1663.5,21413,1664.25
09/09/2013 9:05:59,1664.25,1664.75,1662.5,21426,1662.75
09/09/2013 9:10:07,1662.75,1663.25,1661.75,21435,1662
09/09/2013 9:16:11,1662,1662.5,1661,21452,1662
09/09/2013 9:21:20,1662,1663.25,1661.5,21446,1662.5
09/09/2013 9:29:45,1662.5,1662.75,1661,21439,1661.25
09/09/2013 9:36:17,1661.25,1662.25,1660.25,21466,1662
09/09/2013 9:44:01,1662,1663,1661.25,21444,1662.75
09/09/2013 9:53:51,1662.75,1663,1661.5,21437,1662
09/09/2013 10:02:18,1662.25,1662.5,1660.75,21455,1662
09/09/2013 10:08:49,1662,1663,1661.25,21444,1662.25
09/09/2013 10:15:57,1662.25,1663.25,1662,21441,1662.25
