MBS DATA,,,,,,,,,,
Trade date,Contractual settlement date,Trade amount,Agency,Coupon,Term,CUSIP,Transaction category,Price,Primary dealer,Investment manager
Jan 12 2009,Feb 12 2009,250.0,FHLMC,5.0,30 YR,02R05062,Purchase,102.90,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Feb 12 2009,300.0,FHLMC,5.0,30 YR,02R05062,Purchase,102.91,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Feb 12 2009,500.0,FHLMC,5.0,30 YR,02R05062,Purchase,102.88,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Feb 12 2009,250.0,FHLMC,4.0,30 YR,02R04062,Purchase,100.56,Deutsche Bank Securities Inc.,PIMCO
Jan 12 2009,Feb 12 2009,300.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.07,J.P. Morgan Securities LLC,PIMCO
Jan 12 2009,Mar 17 2009,100.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.34,Morgan Stanley & Co. Incorporated,PIMCO
Jan 12 2009,Mar 17 2009,200.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.25,Morgan Stanley & Co. Incorporated,PIMCO
Jan 13 2009,Feb 12 2009,200.0,FHLMC,4.0,30 YR,02R04062,Purchase,100.82,Barclays Capital Inc.,Wellington Management Company
Jan 13 2009,Feb 12 2009,300.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.13,Barclays Capital Inc.,Wellington Management Company
Jan 13 2009,Mar 12 2009,150.0,FHLMC,4.0,30 YR,02R04063,Purchase,100.33,BNP Paribas Securities Corp.,Wellington Management Company
Jan 13 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.04,BNP Paribas Securities Corp.,Wellington Management Company
Jan 13 2009,Feb 12 2009,300.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.07,BNP Paribas Securities Corp.,Wellington Management Company
Jan 13 2009,Feb 12 2009,200.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.11,Citigroup Global Markets Inc.,Wellington Management Company
Jan 13 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.02,Citigroup Global Markets Inc.,Wellington Management Company
Jan 13 2009,Mar 12 2009,250.0,FHLMC,4.0,30 YR,02R04063,Purchase,100.44,Credit Suisse Securities (USA) LLC,Wellington Management Company
Jan 13 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,101.98,Credit Suisse Securities (USA) LLC,Wellington Management Company
Jan 13 2009,Mar 12 2009,250.0,FHLMC,4.5,30 YR,02R04263,Purchase,101.83,Credit Suisse Securities (USA) LLC,Wellington Management Company
Jan 13 2009,Feb 12 2009,300.0,FHLMC,4.0,30 YR,02R04062,Purchase,100.83,Deutsche Bank Securities Inc.,Wellington Management Company
Jan 13 2009,Feb 12 2009,300.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.03,Deutsche Bank Securities Inc.,Wellington Management Company
Jan 13 2009,Feb 12 2009,250.0,FHLMC,5.0,30 YR,02R05062,Purchase,102.89,Deutsche Bank Securities Inc.,Wellington Management Company
Jan 13 2009,Mar 12 2009,250.0,FHLMC,4.5,30 YR,02R04263,Purchase,101.76,"Goldman, Sachs & Co.",Wellington Management Company
Jan 13 2009,Mar 12 2009,200.0,FNMA,4.0,30 YR,01F04063,Purchase,100.50,J.P. Morgan Securities LLC,Wellington Management Company
Jan 13 2009,Mar 12 2009,100.0,FHLMC,4.0,30 YR,02R04063,Purchase,100.46,J.P. Morgan Securities LLC,Wellington Management Company
Jan 13 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.01,J.P. Morgan Securities LLC,Wellington Management Company
Jan 13 2009,Mar 12 2009,250.0,FHLMC,4.5,30 YR,02R04263,Purchase,101.85,J.P. Morgan Securities LLC,Wellington Management Company
Jan 13 2009,Feb 18 2009,200.0,FHLMC,4.0,15 YR,02R04042,Purchase,101.64,Morgan Stanley & Co. Incorporated,Wellington Management Company
Jan 13 2009,Mar 12 2009,250.0,FHLMC,4.5,30 YR,02R04263,Purchase,101.82,Morgan Stanley & Co. Incorporated,Wellington Management Company
Jan 13 2009,Mar 12 2009,150.0,FHLMC,4.5,30 YR,02R04263,Purchase,101.83,RBS Securities Inc.,Wellington Management Company
Jan 13 2009,Feb 12 2009,200.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.09,UBS Securities LLC,Wellington Management Company
Jan 14 2009,Mar 17 2009,100.0,FNMA,4.0,15 YR,01F04043,Purchase,101.44,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 14 2009,Apr 13 2009,100.0,FNMA,4.0,30 YR,01F04064,Purchase,100.12,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 14 2009,Mar 18 2009,100.0,GNMA,4.0,30 YR,01N04063,Purchase,100.67,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 14 2009,Mar 18 2009,200.0,GNMA,4.5,30 YR,01N04263,Purchase,101.81,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 14 2009,Mar 18 2009,250.0,GNMA,4.5,30 YR,01N04263,Purchase,101.88,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 14 2009,Mar 18 2009,200.0,GNMA,4.5,30 YR,01N04263,Purchase,101.87,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Goldman Sachs Asset Management
Jan 14 2009,Feb 12 2009,250.0,FHLMC,5.5,30 YR,02R05262,Purchase,103.34,BNP Paribas Securities Corp.,Goldman Sachs Asset Management
Jan 14 2009,Feb 12 2009,250.0,FHLMC,5.5,30 YR,02R05262,Purchase,103.39,BNP Paribas Securities Corp.,Goldman Sachs Asset Management
Jan 14 2009,Mar 18 2009,200.0,GNMA,4.5,30 YR,01N04263,Purchase,101.83,Citigroup Global Markets Inc.,Goldman Sachs Asset Management
Jan 14 2009,Mar 17 2009,100.0,FNMA,4.0,15 YR,01F04043,Purchase,101.46,Credit Suisse Securities (USA) LLC,Goldman Sachs Asset Management
Jan 14 2009,Apr 13 2009,150.0,FNMA,4.0,30 YR,01F04064,Purchase,100.28,Credit Suisse Securities (USA) LLC,Goldman Sachs Asset Management
Jan 14 2009,Mar 17 2009,100.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.47,Credit Suisse Securities (USA) LLC,Goldman Sachs Asset Management
Jan 14 2009,Feb 12 2009,250.0,FHLMC,5.5,30 YR,02R05262,Purchase,103.36,Credit Suisse Securities (USA) LLC,Goldman Sachs Asset Management
